127.0.0.1 - - [14/Jul/2020:17:21:48 +0900] "GET / HTTP/1.1" 500 30269
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:21:54 +0900] "GET / HTTP/1.1" 500 30269
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:21:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:28:15 +0900] "GET /WEB-INF/views/mainPage.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:28:30 +0900] "GET / HTTP/1.1" 500 19428
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:27 +0900] "GET / HTTP/1.1" 200 10924
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:27 +0900] "GET /css/responsive.css HTTP/1.1" 200 7157
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:27 +0900] "GET /css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:27 +0900] "GET /css/custom.css HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:27 +0900] "GET /css/style.css HTTP/1.1" 200 60567
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:28 +0900] "GET /js/popper.min.js HTTP/1.1" 200 20337
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:28 +0900] "GET /js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:28 +0900] "GET /js/bootstrap.min.js HTTP/1.1" 200 50731
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:28 +0900] "GET /js/bootstrap-select.js HTTP/1.1" 200 88315
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:28 +0900] "GET /js/jquery.superslides.min.js HTTP/1.1" 200 7882
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:28 +0900] "GET /js/inewsticker.js HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:28 +0900] "GET /css/all.css HTTP/1.1" 200 45687
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:28 +0900] "GET /css/superslides.css HTTP/1.1" 200 1193
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:28 +0900] "GET /css/carousel-ticker.css HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:28 +0900] "GET /css/code_animate.css HTTP/1.1" 200 69727
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:28 +0900] "GET /css/bootsnav.css HTTP/1.1" 200 34938
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:28 +0900] "GET /css/bootstrap-select.css HTTP/1.1" 200 10363
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:28 +0900] "GET /css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:28 +0900] "GET /css/baguetteBox.min.css HTTP/1.1" 200 3609
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:28 +0900] "GET /css/nice-select.css HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [14/Jul/2020:17:32:28 +0900] "GET /css/jquery-ui.css HTTP/1.1" 200 35973
